x,y,count,comment
63950,-5301.616,3,MinecraftBrick105
56136.973,-8994.421,5,MinecraftBrick110
39013.141,-23750,3,MinecraftBrick112_58
39410.887,-23750,3,MinecraftBrick114
9538.293,-24966.547,3,MinecraftBrick118
22212.135,-31196.234,3,MinecraftBrick122_73
21955.518,-33191.934,3,MinecraftBrick144
17731.863,15743.524,5,MinecraftBrick146_113
17842.418,15578.101,5,MinecraftBrick150
16791.209,22900.791,3,MinecraftBrick160_136
-4891.794,-46998.254,10,MinecraftBrick170
16373.125,-12272.154,5,MinecraftBrick191
21772.225,-14986.102,15,MinecraftBrick200
40495.52,-12551.907,3,MinecraftBrick224
41256.797,-19673.203,3,MinecraftBrick231
32430,-14380,3,MinecraftBrick234_19
16250,-29450,2,MinecraftBrick238
19419.363,-31147.814,4,MinecraftBrick239_28
21376.568,-29632.748,2,MinecraftBrick246
17039.518,-31403.697,4,MinecraftBrick254
20870.969,-24148.898,2,MinecraftBrick266
14240.979,-28010.969,3,MinecraftBrick275
13705.041,-32818.559,3,MinecraftBrick283
15804.51,-27236.963,5,MinecraftBrick289
42954.473,-47536.23,3,MinecraftBrick294
50331.465,-48270.473,3,MinecraftBrick303
55401.895,-46233.434,4,MinecraftBrick307_132
55401.895,-46233.434,3,MinecraftBrick310_135
25421.254,-25461.688,3,MinecraftBrick323
54166.297,-17811.113,3,MinecraftBrick340
65900,-17900,5,MinecraftBrick341_176
65459.328,-9938.771,3,MinecraftBrick353_192
19449.961,15752.775,1,MinecraftBrick37_2
-56689.492,440.742,3,MinecraftBrick388
-46750.102,-3898.391,3,MinecraftBrick389_246
12455.508,-19860.197,3,MinecraftBrick390_249
22723.521,-19205.84,3,MinecraftBrick394_257
64842.879,-14145.726,3,MinecraftBrick395_260
65042.879,-13945.726,3,MinecraftBrick397
40495.52,-12351.55,3,MinecraftBrick403
38383.641,-23886.336,3,MinecraftBrick408
32465.721,-27023.15,3,MinecraftBrick411
30422.344,-17530.508,3,MinecraftBrick428
61619.402,-14332.84,3,MinecraftBrick434_21
25058.645,-17415.439,3,MinecraftBrick69
24858.645,-17415.439,3,MinecraftBrick70
24858.645,-17215.439,4,MinecraftBrick73
25058.645,-17215.439,3,MinecraftBrick81
16655.904,-8326.43,3,MinecraftBrick86_22
52188.344,-23566.105,3,MinecraftBrick90_28
14740,-24100,2,MinecraftBrick95_93
16002.42,-27208.129,5,MinecraftBrick96
37262.379,-16575.459,3,MinecraftBrickRespawnable46
-60997.391,-39443.539,3,MinecraftBrick5
8395.556,1004.984,3,MinecraftBrick102
8195.556,1005.437,3,MinecraftBrick103
-34.979,6360.15,3,MinecraftBrick104
-34.977,6111.213,3,MinecraftBrick105
214.988,6360.15,3,MinecraftBrick106
214.891,6111.213,3,MinecraftBrick107
-851.174,-34.001,3,MinecraftBrick108_7
-34.981,6360.15,1,MinecraftBrick109
8395.556,806.797,3,MinecraftBrick11
-34.979,6111.213,2,MinecraftBrick110
214.986,6360.15,2,MinecraftBrick111
-34.984,6612.053,3,MinecraftBrick113
-287.404,6612.098,3,MinecraftBrick114
8195.556,807.249,3,MinecraftBrick12
-3762.759,2630.706,3,MinecraftBrick74
-3509.874,2880.546,3,MinecraftBrick81
-3259.898,2630.854,3,MinecraftBrick84
6229.405,8107.282,3,MinecraftBrick89
