type,icon,x,y,z,item,price,comment,image,ytVideo,ytStart,ytEnd
powerup,loot,-61380,-49300,10070,Trophy Detector,500,,,5KkEVBgFW3U,12876,
powerup,see_chest_count,-58074.578,-22132.297,7836.954,Chest Detector Increased Range,50,,,5KkEVBgFW3U,5012,
powerup,loot,-58072.664,-21770.59,7850.278,Bone Detector,50,,,5KkEVBgFW3U,11697,
powerup,loot,-58038,-21866,,Stats,0,,,5KkEVBgFW3U,4303,
powerup,see_chest_count,-58030.922,-22020.418,7861.437,Chest Count,50,,,5KkEVBgFW3U,4303,
powerup,strong,-6808,-43392,,Strength,0,,,5KkEVBgFW3U,2341,
powerup,health,10396,1908,,Max Health +1,,,,5KkEVBgFW3U,5819,
powerup,pickaxeCooldown,11006,-28392,,Pickaxe Cooldown -,50,,,5KkEVBgFW3U,8944,
powerup,health,14830,-28278,,Max Health +1,,,,5KkEVBgFW3U,6393,
powerup,health_regen_max,14879.687,-32166.709,1476.634,Regeneration +1,40,,,5KkEVBgFW3U,2484,
powerup,pickaxeCooldown,14975.882,-31145.398,1455.898,Pickaxe Cooldown -,50,,,5KkEVBgFW3U,2484,
powerup,gun_damage,15039.346,-31459.777,1457.179,Gun Damage +100%,50,,,5KkEVBgFW3U,2484,
powerup,sword_damage,15044.42,-31863.377,1447.706,Critical Chance +5%,30,,,5KkEVBgFW3U,2484,
powerup,sword_damage,15044.42,-31716.455,1466.543,Critical Chance +5%,30,,,5KkEVBgFW3U,2484,
powerup,map,15581.537,-27308.482,-92.875,Map,60,,,5KkEVBgFW3U,2552,
powerup,health_regen_max,15713.722,-27285.936,-79.137,Regeneration +1,30,,,5KkEVBgFW3U,2552,
powerup,boomeraxe_range,15850.86,-27273.256,-97.39,Pickaxe Swing Range +,30,,,5KkEVBgFW3U,2552,
powerup,health,15985.713,-27252.01,-78.066,Max Health +1,30,,,5KkEVBgFW3U,2552,
powerup,pickaxe_stone,16432.439,-28170.812,-77.566,Stone Pickaxe,20,,,5KkEVBgFW3U,952,
powerup,pickaxe_metal,16443.494,-28352.66,-57.282,Iron Pickaxe,100,,,5KkEVBgFW3U,1830,
powerup,pickaxe_diamond,16464.307,-28558.439,-72.957,Diamond Pickaxe,200,,,5KkEVBgFW3U,2552,
powerup,translocator_distance,21544,-22916,,Shot Force x2,6 Bones,,,5KkEVBgFW3U,11639,
powerup,force_beam_upgrade,21560,-23208,,Beam Elasticity,15 Scrap,,,5KkEVBgFW3U,11639,
powerup,stomp_damage,22141.174,15441.425,3200.793,Jump Height,10,,,5KkEVBgFW3U,359,
powerup,awesome,22243.891,15517.757,3172.554,Knee Bending,10,,,5KkEVBgFW3U,416,
powerup,pickaxe_wood,22349.588,15551.454,3223.588,Wooden Pickaxe,42,,,5KkEVBgFW3U,416,
powerup,pipe_detector,60712,-7160,,Blocked Pipe Detector,,,,5KkEVBgFW3U,7311,
